hero_id,hero_ja,role,sub_role,hanzo_comp_stats.threat_hanzo,hanzo_comp_stats.sonic_arrow_value,hanzo_comp_stats.storm_arrows_value,hanzo_comp_stats.lunge_wall_climb_value,hanzo_comp_stats.dragonstrike_denial,hanzo_comp_stats.sightline_value,hanzo_comp_stats.matchup_rating,hanzo_comp_stats.priority_score,composition_tags,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.dragonstrike_check,diagnosis_snippets.core_plan,diagnosis_snippets.watch_moment,diagnosis_snippets.ultimate_note,diagnosis_snippets.sombra_hack_note,diagnosis_snippets.cross_target_note,diagnosis_snippets.target_priority,cross_target_recalibration.version,cross_target_recalibration.enemy_threat,cross_target_recalibration.target_matchup_rating,cross_target_recalibration.matchup_type,cross_target_recalibration.reason,key_enemy_skills.hack_cast_start,key_enemy_skills.hack_confirmed_unavailable,key_enemy_skills.hack_confirmed_available,cross_target_recalibration,torbjorn_reassessment_note,hanzo_comp_stats.mirror_matchup_v41,diagnosis_snippets.mirror_matchup_note,diagnosis_snippets.mirror_diff_points,cross_target_recalibration.mirror_matchup,cross_target_recalibration.diff_points
Anran,アンラン,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""熠閃舞"", ""朱魂返"", ""焚身焔""]","[""怒炎衝"", ""朱羽焚"", ""熠閃舞""]","[""焚身焔"", ""熠閃舞"", ""朱魂返""]",アンランを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,怒炎衝、味方後衛へ仕掛けた瞬間,龍撃波はアンランを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Widowmaker,ウィドウメイカー,ダメージ,シャープシューター,10,6,5,5,5,10,3,8,"[""long_sightline_duel""]","[""グラップリング・フック"", ""ウィドウズ・キス""]","[""ヴェノム・マイン"", ""グラップリング・フック""]","[""ウィドウズ・キス"", ""グラップリング・フック""]",ウィドウメイカーとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はウィドウメイカーの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Echo,エコー,ダメージ,リコン,10,8,6,7,5,8,2,9,"[""air_pressure""]","[""フライト"", ""フォーカス・ビーム"", ""コピー""]","[""フライト後"", ""低空移動中""]","[""コピー"", ""フライト""]",エコーを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のエコーへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Emre,エムレ,ダメージ,スペシャリスト,7,6,5,5,5,8,5,5,"[""long_sightline_duel""]","[""オルタード・バイタル"", ""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル""]","[""サイバー・フラグ"", ""オルタード・バイタル""]","[""シンセティック・バースト・ライフル"", ""オーバーライド・プロトコル"", ""オルタード・バイタル""]",エムレとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はエムレの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Cassidy,キャスディ,ダメージ,シャープシューター,6,6,5,5,5,8,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""コンバット・ロール"", ""デッド・アイ""]","[""フラッシュバン"", ""コンバット・ロール""]","[""デッド・アイ"", ""コンバット・ロール""]",キャスディとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はキャスディの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,キャスディの中距離に入りすぎない。ハンゾーはフラッシュバン圏外から嵐ノ弓を撃ち、近づかれたら体術で戻る。,キャスディの中距離に入りすぎない。ハンゾーはフラッシュバン圏外から嵐ノ弓を撃ち、近づかれたら体術で戻る。,v41,6,5,中距離圏外管理,キャスディの中距離に入りすぎない。ハンゾーはフラッシュバン圏外から嵐ノ弓を撃ち、近づかれたら体術で戻る。,,,,,,,,,,
Genji,ゲンジ,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]","[""木の葉返し後"", ""風斬り後""]","[""風斬り"", ""木の葉返し"", ""龍撃剣""]",ゲンジを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,風斬り、味方後衛へ仕掛けた瞬間,龍撃波はゲンジを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Shion,シオン,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""回避"", ""凶走"", ""罰""]","[""凶走"", ""回避""]","[""罰"", ""殺戮"", ""回避""]",シオンを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,凶走、味方後衛へ仕掛けた瞬間,龍撃波はシオンを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Symmetra,シンメトラ,ダメージ,スペシャリスト,5,5,5,5,5,5,6,4,"[""standard_angle_control"", ""cross_target_recalibrated_v41""]","[""フォトン・バリア"", ""テレポーター""]","[""セントリー・タレット"", ""テレポーター"", ""フォトン・バリア""]","[""テレポーター""]",シンメトラには嵐ノ弓で遮蔽から1発だけ狙い、先に体力を削り、鳴響矢水で相手が出直す位置を味方に知らせる。近づかれた時だけ電光石火を使い、先撃ちしすぎない。,再ピークした瞬間、移動スキル使用後,龍撃波はシンメトラが動く先、または回復を受ける位置へ流して退路を狭める。,,シンメトラには近づかれなければ戦いやすい。鳴響矢水でセントリー・タレットやテレポーターの位置を味方に知らせ、壊してからビーム距離を避けて戦う。,シンメトラには近づかれなければ戦いやすい。鳴響矢水でセントリー・タレットやテレポーターの位置を味方に知らせ、壊してからビーム距離を避けて戦う。,v41,5,6,設置物処理・距離維持,シンメトラには近づかれなければ戦いやすい。鳴響矢水でセントリー・タレットやテレポーターの位置を味方に知らせ、壊してからビーム距離を避けて戦う。,,,,,,,,,,
Junkrat,ジャンクラット,ダメージ,スペシャリスト,5,5,5,5,5,5,5,5,"[""standard_angle_control""]","[""コンカッション・マイン"", ""RIPタイヤ""]","[""スティール・トラップ"", ""コンカッション・マイン""]","[""RIPタイヤ"", ""コンカッション・マイン""]",ジャンクラットには嵐ノ弓で遮蔽から1発だけ狙い、先に体力を削り、鳴響矢水で相手が出直す位置を味方に知らせる。近づかれた時だけ電光石火を使い、先撃ちしすぎない。,再ピークした瞬間、移動スキル使用後,龍撃波はジャンクラットが動く先、または回復を受ける位置へ流して退路を狭める。,,,,,,,,,,,,,,,,,,
Sojourn,ソジョーン,ダメージ,シャープシューター,7,6,5,5,5,8,5,6,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""パワー・スライド"", ""レールガン"", ""オーバークロック""]","[""ディスラプター・ショット"", ""パワー・スライド""]","[""レールガン"", ""オーバークロック"", ""パワー・スライド""]",ソジョーンとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はソジョーンの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,ソジョーンのレールガンが溜まっている時は長く見合わない。ハンゾーは鳴響矢水で敵の位置を味方に知らせて、先に嵐ノ弓を通す。,ソジョーンのレールガンが溜まっている時は長く見合わない。ハンゾーは鳴響矢水で敵の位置を味方に知らせて、先に嵐ノ弓を通す。,v41,7,5,レールガン警戒,ソジョーンのレールガンが溜まっている時は長く見合わない。ハンゾーは鳴響矢水で敵の位置を味方に知らせて、先に嵐ノ弓を通す。,,,,,,,,,,
Soldier: 76,ソルジャー76,ダメージ,スペシャリスト,5,6,5,5,5,8,6,4,"[""long_sightline_duel"", ""cross_target_recalibrated_v41""]","[""スプリント"", ""タクティカル・バイザー""]","[""ヘリックス・ロケット"", ""スプリント""]","[""タクティカル・バイザー"", ""スプリント""]",ソルジャー76とは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はソルジャー76の射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,ソルジャー76の継続火力には付き合わない。ハンゾーは嵐ノ弓を1発だけ撃って遮蔽へ戻り、別の射線位置を使う。,ソルジャー76の継続火力には付き合わない。ハンゾーは嵐ノ弓を1発だけ撃って遮蔽へ戻り、別の射線位置を使う。,v41,5,6,遮蔽管理・短時間勝負,ソルジャー76の継続火力には付き合わない。ハンゾーは嵐ノ弓を1発だけ撃って遮蔽へ戻り、別の射線位置を使う。,,,,,,,,,,
Sombra,ソンブラ,ダメージ,リコン,10,10,10,10,5,5,3,10,"[""mobility_threat"", ""sombra_hack_response""]","[""ハック"", ""EMP"", ""トランズロケーター""]","[""ハック開始"", ""トランズロケーター後"", ""ステルス解除""]","[""ハック"", ""EMP"", ""トランズロケーター""]",ソンブラが消えている時間は鳴響矢水を側面ルートと味方後衛付近に使い、ハック開始時は嵐ノ弓か電光石火で中断を狙う。ハック成立後はスキルを前提にせず、嵐ノ弓を1発だけ撃って遮蔽へ移動する。,ハック開始、ステルス解除、トランズロケーター後,龍撃波はEMPやハックで止まる前提で、ソンブラの位置が割れた後、またはトランズロケーター後に通す。単独で先に撃たず、味方の拘束や前進に合わせる。,ハック開始時は嵐ノ弓か電光石火で中断を狙う。成立後は電光石火、鳴響矢水、体術、龍撃波を前提にせず、嵐ノ弓と徒歩遮蔽で耐える。,,,,,,,,"[""ハック開始"", ""ステルス解除""]","[""電光石火"", ""鳴響矢水"", ""体術"", ""龍撃波""]","[""嵐ノ弓"", ""リロード"", ""遮蔽への後退""]",,,,,,,
Tracer,トレーサー,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]","[""リコール後"", ""ブリンクを複数使った後""]","[""ブリンク"", ""リコール"", ""パルス・ボム""]",トレーサーを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,ブリンク、味方後衛へ仕掛けた瞬間,龍撃波はトレーサーを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Torbjörn,トールビョーン,ダメージ,スペシャリスト,5,5,5,5,5,5,5,5,"[""standard_angle_control""]","[""オーバーロード"", ""モルテン・コア""]","[""タレット"", ""オーバーロード""]","[""オーバーロード"", ""モルテン・コア""]",トールビョーンには嵐ノ弓で遮蔽から1発だけ狙い、先に体力を削り、鳴響矢水で相手が出直す位置を味方に知らせる。近づかれた時だけ電光石火を使い、先撃ちしすぎない。,再ピークした瞬間、移動スキル使用後,龍撃波はトールビョーンが動く先、または回復を受ける位置へ流して退路を狭める。,,,,,,,,,,,,v47_torbjorn_db_applied,トールビョーンDB v1統合時に、タレット設置・オーバーロード・モルテン・コアの表記と確認タイミングを再点検。,,,,,
Hanzo,ハンゾー,ダメージ,シャープシューター,8,9,7,7,7,8,5,7,"[""long_sightline_duel"", ""cross_target_recalibrated_v41"", ""mirror_matchup_v41""]","[""鳴響矢水"", ""電光石火"", ""龍撃波""]","[""電光石火"", ""体術""]","[""鳴響矢水"", ""体術""]",ハンゾーとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はハンゾーの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,ハンゾーミラーは一撃で流れが変わる。鳴響矢水で先に相手の位置を味方に知らせた側が有利で、同じ位置から二度続けて顔を出さず、嵐ノ弓1発ごとに遮蔽へ戻る。,ハンゾーミラーは一撃で流れが変わる。鳴響矢水で先に相手の位置を味方に知らせた側が有利で、同じ位置から二度続けて顔を出さず、嵐ノ弓1発ごとに遮蔽へ戻る。,v41,8,5,鳴響矢水・1発ピーク差,ハンゾーミラーは一撃で流れが変わる。鳴響矢水で先に相手の位置を味方に知らせた側が有利で、同じ位置から二度続けて顔を出さず、嵐ノ弓1発ごとに遮蔽へ戻る。,,,,,,True,ハンゾーミラーは一撃で流れが変わる。鳴響矢水で先に相手の位置を味方に知らせた側が有利で、同じ位置から二度続けて顔を出さず、嵐ノ弓1発ごとに遮蔽へ戻る。,鳴響矢水で先に相手の位置を味方に知らせる / 同じ位置から二度続けて顔を出さない / 電光石火は近距離迎撃に残す,True,"[""鳴響矢水で先に相手の位置を味方に知らせる"", ""同じ位置から二度続けて顔を出さない"", ""電光石火は近距離迎撃に残す""]"
Bastion,バスティオン,ダメージ,スペシャリスト,7,6,5,5,5,8,5,5,"[""long_sightline_duel""]","[""砲台モード""]","[""強襲モード"", ""A-36タクティカル・グレネード""]","[""砲台モード""]",バスティオンとは同じ射線で長く撃ち合わず、嵐ノ弓を溜めて1発だけ出し、すぐ遮蔽へ戻る。鳴響矢水で相手が出直す位置を味方に知らせてから次の射線位置を使う。,同じ遮蔽から再ピークした瞬間、射線変更直後,龍撃波はバスティオンの射線を無理に突破するより、遮蔽から出る必要がある退路やサポート位置へ流す。,,,,,,,,,,,,,,,,,,
Pharah,ファラ,ダメージ,リコン,10,8,6,7,5,8,2,9,"[""air_pressure""]","[""ジャンプ・ジェット"", ""ホバー・ジェット"", ""バレッジ""]","[""着地後"", ""低空移動中""]","[""バレッジ"", ""ジャンプ・ジェット""]",ファラを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のファラへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Freja,フレイヤ,ダメージ,リコン,10,9,6,7,5,9,3,7,"[""long_sightline_duel"", ""air_pressure""]","[""クイック・ダッシュ"", ""アップドラフト"", ""ボーラ・ショット""]","[""ボーラ・ショット"", ""テイク・エイム"", ""クイック・ダッシュ""]","[""ボーラ・ショット"", ""クイック・ダッシュ"", ""アップドラフト""]",フレイヤを空中で追い続けず、低空・着地・直線移動に嵐ノ弓を合わせる。鳴響矢水で敵の位置を味方に知らせ、空中だけを追わず地上で前に出た敵にも切り替える。,低空、着地、サポートの射線が切れた瞬間,龍撃波は空中のフレイヤへ直接ではなく、地上の退路や回復位置へ流して動きを制限する。,,,,,,,,,,,,,,,,,,
Venture,ベンチャー,ダメージ,フランカー,9,9,8,9,5,5,4,9,"[""mobility_threat""]","[""バロー"", ""ドリル・ダッシュ"", ""テクトニック・ショック""]","[""ドリル・ダッシュ"", ""バロー""]","[""バロー"", ""テクトニック・ショック"", ""ドリル・ダッシュ""]",ベンチャーを正面で探し続けず、鳴響矢水で側面ルートを先に確認する。接近後は嵐ノ弓を欲張らず、電光石火で移動スキル使用直後の硬直を狙いて体術で距離を戻す。,ドリル・ダッシュ、味方後衛へ仕掛けた瞬間,龍撃波はベンチャーを直接狙うより、逃げ道やサポートの射線を切るために使う。,,,,,,,,,,,,,,,,,,
Mei,メイ,ダメージ,スペシャリスト,5,5,5,5,5,5,5,5,"[""standard_angle_control""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]","[""アイス・ウォール"", ""クリオフリーズ""]","[""クリオフリーズ"", ""アイス・ウォール"", ""ブリザード""]",メイには嵐ノ弓で遮蔽から1発だけ狙い、先に体力を削り、鳴響矢水で相手が出直す位置を味方に知らせる。近づかれた時だけ電光石火を使い、先撃ちしすぎない。,再ピークした瞬間、移動スキル使用後,龍撃波はメイが動く先、または回復を受ける位置へ流して退路を狭める。,,,,,,,,,,,,,,,,,,
