composition_tags,diagnosis_snippets,hero_id,hero_ja,key_enemy_skills,matchup_rating,role,sub_role
"[""long_range_threat"", ""save_sustain"", ""heavy_frontline""]","{""positioning"": ""シグマを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""シグマが起点か支援かを確認して優先度を変える。""}",Sigma,シグマ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""save_sustain"", ""heavy_frontline""]","{""positioning"": ""ラインハルトを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ラインハルトが起点か支援かを確認して優先度を変える。""}",Reinhardt,ラインハルト,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,タンク,ストールワート
"[""long_range_threat""]","{""positioning"": ""アッシュを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""アッシュが起点か支援かを確認して優先度を変える。""}",Ashe,アッシュ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,シャープシューター
"[""long_range_threat""]","{""positioning"": ""ウィドウメイカーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ウィドウメイカーが起点か支援かを確認して優先度を変える。""}",Widowmaker,ウィドウメイカー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,シャープシューター
"[""long_range_threat""]","{""positioning"": ""エムレを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""エムレが起点か支援かを確認して優先度を変える。""}",Emre,エムレ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""long_range_threat""]","{""positioning"": ""キャスディを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""キャスディが起点か支援かを確認して優先度を変える。""}",Cassidy,キャスディ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,シャープシューター
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""ソジョーンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ソジョーンが起点か支援かを確認して優先度を変える。""}",Sojourn,ソジョーン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,シャープシューター
"[""long_range_threat""]","{""positioning"": ""ソルジャー76を単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ソルジャー76が起点か支援かを確認して優先度を変える。""}",Soldier: 76,ソルジャー76,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""long_range_threat""]","{""positioning"": ""ハンゾーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ハンゾーが起点か支援かを確認して優先度を変える。""}",Hanzo,ハンゾー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,シャープシューター
"[""dive_threat"", ""long_range_threat"", ""aerial_pressure""]","{""positioning"": ""フレイヤを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""フレイヤが起点か支援かを確認して優先度を変える。""}",Freja,フレイヤ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,リコン
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""アンランを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""アンランが起点か支援かを確認して優先度を変える。""}",Anran,アンラン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""ゲンジを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ゲンジが起点か支援かを確認して優先度を変える。""}",Genji,ゲンジ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""シオンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""シオンが起点か支援かを確認して優先度を変える。""}",Shion,シオン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat""]","{""positioning"": ""ソンブラを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ソンブラが起点か支援かを確認して優先度を変える。""}",Sombra,ソンブラ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,リコン
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""トレーサーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""トレーサーが起点か支援かを確認して優先度を変える。""}",Tracer,トレーサー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""ベンチャーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ベンチャーが起点か支援かを確認して優先度を変える。""}",Venture,ベンチャー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""リーパーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""リーパーが起点か支援かを確認して優先度を変える。""}",Reaper,リーパー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat""]","{""positioning"": ""ヴェンデッタを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ヴェンデッタが起点か支援かを確認して優先度を変える。""}",Vendetta,ヴェンデッタ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,フランカー
"[""dive_threat"", ""long_range_threat"", ""aerial_pressure""]","{""positioning"": ""エコーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""エコーが起点か支援かを確認して優先度を変える。""}",Echo,エコー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,リコン
"[""dive_threat"", ""aerial_pressure""]","{""positioning"": ""ファラを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ファラが起点か支援かを確認して優先度を変える。""}",Pharah,ファラ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,リコン
"[""balanced_tempo""]","{""positioning"": ""シンメトラを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""シンメトラが起点か支援かを確認して優先度を変える。""}",Symmetra,シンメトラ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""long_range_threat""]","{""positioning"": ""ジャンクラットを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ジャンクラットが起点か支援かを確認して優先度を変える。""}",Junkrat,ジャンクラット,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""balanced_tempo""]","{""positioning"": ""トールビョーンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""トールビョーンが起点か支援かを確認して優先度を変える。""}",Torbjörn,トールビョーン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""long_range_threat""]","{""positioning"": ""バスティオンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""バスティオンが起点か支援かを確認して優先度を変える。""}",Bastion,バスティオン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""save_sustain""]","{""positioning"": ""メイを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""メイが起点か支援かを確認して優先度を変える。""}",Mei,メイ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,ダメージ,スペシャリスト
"[""long_range_threat""]","{""positioning"": ""イラリーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""イラリーが起点か支援かを確認して優先度を変える。""}",Illari,イラリー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,サバイバー
"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","{""positioning"": ""ジェットパック・キャットを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ジェットパック・キャットが起点か支援かを確認して優先度を変える。""}",Jetpack Cat,ジェットパック・キャット,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,タクティシャン
"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","{""positioning"": ""ジュノを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ジュノが起点か支援かを確認して優先度を変える。""}",Juno,ジュノ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,サバイバー
"[""long_range_threat"", ""save_sustain""]","{""positioning"": ""バティストを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""バティストが起点か支援かを確認して優先度を変える。""}",Baptiste,バティスト,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,タクティシャン
"[""dive_threat"", ""aerial_pressure"", ""save_sustain""]","{""positioning"": ""マーシーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""マーシーが起点か支援かを確認して優先度を変える。""}",Mercy,マーシー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,メディック
"[""save_sustain""]","{""positioning"": ""ライフウィーバーを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ライフウィーバーが起点か支援かを確認して優先度を変える。""}",Lifeweaver,ライフウィーバー,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,メディック
"[""dive_threat"", ""save_sustain""]","{""positioning"": ""キリコを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""キリコが起点か支援かを確認して優先度を変える。""}",Kiriko,キリコ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,メディック
"[""save_sustain""]","{""positioning"": ""ブリギッテを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ブリギッテが起点か支援かを確認して優先度を変える。""}",Brigitte,ブリギッテ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,サバイバー
"[""dive_threat"", ""save_sustain""]","{""positioning"": ""モイラを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""モイラが起点か支援かを確認して優先度を変える。""}",Moira,モイラ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,メディック
"[""dive_threat"", ""save_sustain""]","{""positioning"": ""ルシオを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ルシオが起点か支援かを確認して優先度を変える。""}",Lúcio,ルシオ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,タクティシャン
"[""long_range_threat"", ""save_sustain""]","{""positioning"": ""アナを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""アナが起点か支援かを確認して優先度を変える。""}",Ana,アナ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,タクティシャン
"[""save_sustain""]","{""positioning"": ""ウーヤンを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ウーヤンが起点か支援かを確認して優先度を変える。""}",Wuyang,ウーヤン,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,サバイバー
"[""long_range_threat""]","{""positioning"": ""ゼニヤッタを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ゼニヤッタが起点か支援かを確認して優先度を変える。""}",Zenyatta,ゼニヤッタ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,タクティシャン
"[""save_sustain""]","{""positioning"": ""ミズキを単体ではなく、敵構成の勝ち筋の中で見る。"", ""target_priority"": ""ミズキが起点か支援かを確認して優先度を変える。""}",Mizuki,ミズキ,"{""respect"": [""主要アビリティ""], ""punish_after"": [""移動後"", ""防御後"", ""救助後""], ""ultimate_check"": [""防御・救助・移動スキル""]}",5.0,サポート,サバイバー
