target_id,target_ja,enemy_id,enemy_ja,wait_category,check_skills,punish_window,target_action,reset_action
Soldier76,ソルジャー76,Emre,エムレ,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Cassidy,キャスディ,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Sojourn,ソジョーン,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Soldier: 76,ソルジャー76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Hanzo,ハンゾー,移動・離脱の使用確認,体術 / 壁登り,体術 / 壁登りで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Freja,フレイヤ,移動・離脱の使用確認,クイック・ダッシュ / アップドラフト,クイック・ダッシュ / アップドラフトで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Anran,アンラン,移動・離脱の使用確認,熠閃舞 / 朱魂返,熠閃舞 / 朱魂返で移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Genji,ゲンジ,防御・救助の使用確認,木の葉返し,木の葉返しを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Shion,シオン,移動・離脱の使用確認,回避 / 凶走,回避 / 凶走で移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Sombra,ソンブラ,防御・救助の使用確認,ハック / EMP,ハック / EMPを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Tracer,トレーサー,防御・救助の使用確認,リコール,リコールを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Venture,ベンチャー,防御・救助の使用確認,バロー,バローを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Reaper,リーパー,防御・救助の使用確認,レイス・フォーム,レイス・フォームを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Vendetta,ヴェンデッタ,防御・救助の使用確認,ウォーディング・スタンス,ウォーディング・スタンスを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Echo,エコー,移動・離脱の使用確認,フライト,フライトで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Pharah,ファラ,移動・離脱の使用確認,ジャンプ・ジェット / ジェット・ダッシュ,ジャンプ・ジェット / ジェット・ダッシュで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Symmetra,シンメトラ,防御・救助の使用確認,フォトン・バリア,フォトン・バリアを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Junkrat,ジャンクラット,移動・離脱の使用確認,コンカッション・マイン,コンカッション・マインで移動先が決まった瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Torbjörn,トールビョーン,防御・救助の使用確認,オーバーロード,オーバーロードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Bastion,バスティオン,接近・仕掛けの後隙確認,強襲モード / A-36タクティカル・グレネード,強襲モード / A-36タクティカル・グレネードで前に出た直後、または戻り道が限定された瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Mei,メイ,防御・救助の使用確認,クリオフリーズ / アイス・ウォール,クリオフリーズ / アイス・ウォールを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Illari,イラリー,防御・救助の使用確認,ヒーリング・パイロン,ヒーリング・パイロンを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Jetpack Cat,ジェットパック・キャット,防御・救助の使用確認,ゴロゴロ,ゴロゴロを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Juno,ジュノ,防御・救助の使用確認,ハイパーリング / オービタル・レイ,ハイパーリング / オービタル・レイを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Baptiste,バティスト,防御・救助の使用確認,イモータリティ・フィールド / リジェネ・バースト,イモータリティ・フィールド / リジェネ・バーストを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Mercy,マーシー,防御・救助の使用確認,蘇生 / ガーディアン・エンジェル,蘇生 / ガーディアン・エンジェルを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Lifeweaver,ライフウィーバー,防御・救助の使用確認,ライフグリップ / ペタル・プラットフォーム / 命の樹,ライフグリップ / ペタル・プラットフォーム / 命の樹を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Kiriko,キリコ,防御・救助の使用確認,鈴のご加護 / 神出鬼没,鈴のご加護 / 神出鬼没を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Brigitte,ブリギッテ,防御・救助の使用確認,バリア・シールド / ラリー / リペア・パック,バリア・シールド / ラリー / リペア・パックを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Moira,モイラ,防御・救助の使用確認,フェード,フェードを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Lúcio,ルシオ,防御・救助の使用確認,サウンド・バリア,サウンド・バリアを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Ana,アナ,防御・救助の使用確認,スリープ・ダーツ,スリープ・ダーツを使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Wuyang,ウーヤン,防御・救助の使用確認,養神泉 / 驚濤破,養神泉 / 驚濤破を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Zenyatta,ゼニヤッタ,防御・救助の使用確認,心頭滅却,心頭滅却を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Soldier76,ソルジャー76,Mizuki,ミズキ,防御・救助の使用確認,霊域結界 / 快気の笠,霊域結界 / 快気の笠を使った直後、または効果範囲から離れた瞬間,ヘリックス・ロケットで撃破を確定する,スプリントで次の遮蔽へ戻る
Sojourn,ソジョーン,D.Va,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Winston,ウィンストン,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Doomfist,ドゥームフィスト,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Hazard,ハザード,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Wrecking Ball,レッキング・ボール,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Zarya,ザリア,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Junker Queen,ジャンカー・クイーン,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Domina,ドミナ,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Mauga,マウガ,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Ramattra,ラマットラ,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Roadhog,ロードホッグ,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Orisa,オリーサ,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Sigma,シグマ,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Reinhardt,ラインハルト,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Ashe,アッシュ,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Widowmaker,ウィドウメイカー,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Emre,エムレ,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Cassidy,キャスディ,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Sojourn,ソジョーン,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Soldier: 76,ソルジャー76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Hanzo,ハンゾー,移動・離脱の使用確認,体術 / 壁登り,体術 / 壁登りで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Freja,フレイヤ,移動・離脱の使用確認,クイック・ダッシュ / アップドラフト,クイック・ダッシュ / アップドラフトで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Anran,アンラン,移動・離脱の使用確認,熠閃舞 / 朱魂返,熠閃舞 / 朱魂返で移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Genji,ゲンジ,防御・救助の使用確認,木の葉返し,木の葉返しを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Shion,シオン,移動・離脱の使用確認,回避 / 凶走,回避 / 凶走で移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Sombra,ソンブラ,防御・救助の使用確認,ハック / EMP,ハック / EMPを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Tracer,トレーサー,防御・救助の使用確認,リコール,リコールを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Venture,ベンチャー,防御・救助の使用確認,バロー,バローを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Reaper,リーパー,防御・救助の使用確認,レイス・フォーム,レイス・フォームを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Vendetta,ヴェンデッタ,防御・救助の使用確認,ウォーディング・スタンス,ウォーディング・スタンスを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Echo,エコー,移動・離脱の使用確認,フライト,フライトで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Pharah,ファラ,移動・離脱の使用確認,ジャンプ・ジェット / ジェット・ダッシュ,ジャンプ・ジェット / ジェット・ダッシュで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Symmetra,シンメトラ,防御・救助の使用確認,フォトン・バリア,フォトン・バリアを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Junkrat,ジャンクラット,移動・離脱の使用確認,コンカッション・マイン,コンカッション・マインで移動先が決まった瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Torbjörn,トールビョーン,防御・救助の使用確認,オーバーロード,オーバーロードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Bastion,バスティオン,接近・仕掛けの後隙確認,強襲モード / A-36タクティカル・グレネード,強襲モード / A-36タクティカル・グレネードで前に出た直後、または戻り道が限定された瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Mei,メイ,防御・救助の使用確認,クリオフリーズ / アイス・ウォール,クリオフリーズ / アイス・ウォールを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Illari,イラリー,防御・救助の使用確認,ヒーリング・パイロン,ヒーリング・パイロンを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Jetpack Cat,ジェットパック・キャット,防御・救助の使用確認,ゴロゴロ,ゴロゴロを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Juno,ジュノ,防御・救助の使用確認,ハイパーリング / オービタル・レイ,ハイパーリング / オービタル・レイを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Baptiste,バティスト,防御・救助の使用確認,イモータリティ・フィールド / リジェネ・バースト,イモータリティ・フィールド / リジェネ・バーストを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Mercy,マーシー,防御・救助の使用確認,蘇生 / ガーディアン・エンジェル,蘇生 / ガーディアン・エンジェルを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Lifeweaver,ライフウィーバー,防御・救助の使用確認,ライフグリップ / ペタル・プラットフォーム / 命の樹,ライフグリップ / ペタル・プラットフォーム / 命の樹を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Kiriko,キリコ,防御・救助の使用確認,鈴のご加護 / 神出鬼没,鈴のご加護 / 神出鬼没を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Brigitte,ブリギッテ,防御・救助の使用確認,バリア・シールド / ラリー / リペア・パック,バリア・シールド / ラリー / リペア・パックを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Moira,モイラ,防御・救助の使用確認,フェード,フェードを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Lúcio,ルシオ,防御・救助の使用確認,サウンド・バリア,サウンド・バリアを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Ana,アナ,防御・救助の使用確認,スリープ・ダーツ,スリープ・ダーツを使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Wuyang,ウーヤン,防御・救助の使用確認,養神泉 / 驚濤破,養神泉 / 驚濤破を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Zenyatta,ゼニヤッタ,防御・救助の使用確認,心頭滅却,心頭滅却を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Sojourn,ソジョーン,Mizuki,ミズキ,防御・救助の使用確認,霊域結界 / 快気の笠,霊域結界 / 快気の笠を使った直後、または効果範囲から離れた瞬間,レールガンを露出した敵へ使う,パワー・スライドで射線を変える
Cassidy,キャスディ,D.Va,D.Va,防御・救助の使用確認,ディフェンス・マトリックス,ディフェンス・マトリックスを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Winston,ウィンストン,防御・救助の使用確認,バリア・プロジェクター,バリア・プロジェクターを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Doomfist,ドゥームフィスト,防御・救助の使用確認,パワー・ブロック,パワー・ブロックを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Hazard,ハザード,防御・救助の使用確認,スパイク・ガード,スパイク・ガードを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Wrecking Ball,レッキング・ボール,防御・救助の使用確認,アダプティブ・シールド,アダプティブ・シールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Zarya,ザリア,防御・救助の使用確認,パーティクル・バリア / バリア・ショット,パーティクル・バリア / バリア・ショットを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Junker Queen,ジャンカー・クイーン,防御・救助の使用確認,コマンディング・シャウト,コマンディング・シャウトを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Domina,ドミナ,防御・救助の使用確認,バリア・アレイ,バリア・アレイを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Mauga,マウガ,防御・救助の使用確認,カーディアック・オーバードライブ,カーディアック・オーバードライブを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Ramattra,ラマットラ,防御・救助の使用確認,ヴォイド・バリア / ブロック,ヴォイド・バリア / ブロックを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Roadhog,ロードホッグ,防御・救助の使用確認,テイク・ア・ブリーザー,テイク・ア・ブリーザーを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Orisa,オリーサ,防御・救助の使用確認,フォーティファイ / ジャベリン・スピン,フォーティファイ / ジャベリン・スピンを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Sigma,シグマ,防御・救助の使用確認,エクスペリメンタル・バリア / キネティック・グラスプ,エクスペリメンタル・バリア / キネティック・グラスプを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Reinhardt,ラインハルト,防御・救助の使用確認,バリア・フィールド,バリア・フィールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Ashe,アッシュ,移動・離脱の使用確認,コーチ・ガン,コーチ・ガンで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Widowmaker,ウィドウメイカー,移動・離脱の使用確認,グラップリング・フック,グラップリング・フックで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Emre,エムレ,移動・離脱の使用確認,オルタード・バイタル,オルタード・バイタルで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Cassidy,キャスディ,移動・離脱の使用確認,コンバット・ロール,コンバット・ロールで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Sojourn,ソジョーン,移動・離脱の使用確認,パワー・スライド,パワー・スライドで移動先が決まった瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
Cassidy,キャスディ,Soldier: 76,ソルジャー76,防御・救助の使用確認,バイオティック・フィールド,バイオティック・フィールドを使った直後、または効果範囲から離れた瞬間,フラッシュバン後にピースキーパーで確定する,コンバット・ロールで遮蔽へ戻る
